time,height
13.357,-0.6184692
13.389,0.007751882
13.428,0.5675785
13.457,0.8752338
13.504,0.94195396
13.567,0.299775
13.567,0.299775
13.59,-0.05603075
13.624,-0.34720352
13.653,-0.5132563
13.685,-0.5598628
13.725,-0.4952013
13.759,-0.370466
13.783,-0.1953924
13.813,-0.017094672
13.845,0.18338537
13.877,0.36431962
13.909,0.4950589
13.939,0.52452326
13.974,0.447549
14.003,0.24586159
14.044001,-0.058057845
14.068001,-0.3884567
14.099001,-0.6480642
14.136,-0.7428751
14.16,-0.62295115
14.191,-0.31453562
14.226999,0.14933747
14.252001,0.6062201
14.285999,0.93381155
14.316999,0.9959807
14.347,0.75088894
14.378,0.2509709
14.412001,-0.4166963
14.441,-0.9619742
14.473,-1.2917942
14.504,-1.2298206
14.537001,-0.7313679
14.5720005,3.7688017E-4
14.601999,0.78619295
14.635,1.4027607
14.665001,1.611201
14.6970005,1.347298
14.73,0.63608825
14.761999,-0.31736243
14.788,-1.1954639
14.819,-1.7439778
14.849001,-1.8224907
14.879999,-1.3609556
14.917,-0.41126382
14.950001,0.64448607
14.976,1.5175581
15.004999,1.9987781
15.038,1.8729029
15.068001,1.2364595
15.106001,0.08526802
15.1310005,-0.98624873
15.163,-1.8364899
15.193001,-2.1211357
15.23,-1.7826104
15.257,-0.9202902
15.288,0.21030843
15.327999,1.24199
15.355,1.9605509
15.384001,2.0398746
15.416,1.4763808
15.445999,0.5383091
15.479,-0.5934978
15.511,-1.4994159
15.544001,-1.8922688
15.575001,-1.6847363
15.603001,-0.96601355
15.632,0.02638948
15.665001,1.0240337
15.695,1.5910071
15.736,1.5895255
15.7630005,1.0545429
15.794001,0.13087274
15.83,-0.7783395
15.860001,-1.4516975
15.8880005,-1.6291003
15.9279995,-1.1794372
15.950001,-0.38227743
15.983999,0.6563404
16.012,1.466687
16.044,1.8630328
16.074,1.6353842
16.106,0.8619803
16.133,-0.15685156
16.165,-1.3045083
16.196,-2.0183828
16.239,-2.1203547
16.259,-1.5750203
16.291,-0.5261678
16.327,0.7452219
16.352,1.776381
16.383,2.2890127
16.415,2.1057212
16.45,1.2891858
16.484,0.009501085
16.51,-1.1581509
16.542,-2.021016
16.573,-2.2245488
16.606,-1.7206553
16.643,-0.62508
16.676,0.6310618
16.702,1.5802329
16.733,2.0983374
16.761,1.9182966
16.796,1.0917679
16.828,-0.06882794
16.855,-1.2137308
16.894,-2.010182
16.923,-2.0919223
16.952,-1.5098809
16.994,-0.3885098
17.026,0.92797303
17.046,1.8588808
17.079,2.3205523
17.121,2.012047
17.142,1.1983666
17.176,-0.12380565
17.206,-1.3116627
17.234,-2.166617
17.269,-2.3972063
17.297,-1.9322916
17.328,-0.9377174
17.366,0.4052814
17.392,1.4172803
17.424,2.0895076
17.458,2.1071846
17.487,1.5336224
17.517,0.62867165
17.549,-0.45177168
17.579,-1.2376058
17.613,-1.595092
17.652,-1.424714
17.687,-0.75719875
17.716,-0.097029686
17.748,0.5547588
17.775,0.89372694
17.806,0.8617221
17.836,0.5345593
17.866,0.053307444
17.901,-0.37667286
17.934,-0.59234804
17.962,-0.4955273
17.997,-0.15055585
18.023,0.3174502
18.051,0.6785328
18.103,0.81192136
18.121,0.5875969
18.149,0.124412775
18.183,-0.48267683
18.211,-0.9565364
