timeStamp,UIWaveMakerMode,UIWaveMakerPos,UIWaveMakerHeight,UIWaveMakerFrequency,UIWaveMakerSigH,UIWaveMakerPeakF,UIWaveMakergamma,UIWecMode,UIWecTorque,UIWeckP,UIWeckD,UIWecHeight,UIWecFrequency,UIWecSigH,UIWecPeakF,UIWecgamma,probe1,probe2,waveMakerPos,waveMakerDebugData,wecPos,wecTau,wecPower,wecVel
61093.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0024315787,,,0.0,0.0,0.0,0.0,0.0,1.9285714E-4,0.16416964,-0.0,0.0,-6.689454E-4,-0.0024315787,0.0,0.0
61124.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0024315787,,,0.0,0.0,0.0,0.0,0.0,2.4107142E-4,0.16412143,-0.0,0.0,-6.689454E-4,-0.0024315787,0.0,0.0
61157.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0024315787,,,0.0,0.0,0.0,0.0,0.0,1.9285714E-4,0.16402501,-0.0,0.0,-6.689454E-4,-0.0024315787,0.0,0.0
61188.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0024315787,,,0.0,0.0,0.0,0.0,0.0,1.4464287E-4,0.16402501,-0.0,0.0,-6.689454E-4,-0.0024315787,0.0,0.0
61220.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0024315787,,,0.0,0.0,0.0,0.0,0.0,1.4464287E-4,0.16407323,-0.0,0.0,-6.689454E-4,-0.0024315787,0.0,0.0
61250.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0024315787,,,0.0,0.0,0.0,0.0,0.0,1.9285714E-4,0.16416965,-0.0,0.0,-6.689454E-4,-0.0024315787,0.0,0.0
61282.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0024315787,,,0.0,0.0,0.0,0.0,0.0,2.4107142E-4,0.16426608,-0.0,0.0,-6.689454E-4,-0.0024315787,0.0,0.0
61314.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0024315787,,,0.0,0.0,0.0,0.0,0.0,2.8928573E-4,0.1643143,-0.0,0.0,-6.689454E-4,-0.0024315787,0.0,0.0
61346.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0024315787,,,0.0,0.0,0.0,0.0,0.0,2.4107142E-4,0.16426608,-0.0,0.0,-6.689454E-4,-0.0024315787,0.0,0.0
61376.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0024315787,,,0.0,0.0,0.0,0.0,0.0,2.8928573E-4,0.16397679,-0.0,0.0,-6.689454E-4,-0.0024315787,0.0,0.0
61407.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0024315787,,,0.0,0.0,0.0,0.0,0.0,1.4464287E-4,0.16383216,-0.0,0.0,-6.689454E-4,-0.0024315787,0.0,0.0
61438.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0025263156,,,0.0,0.0,0.0,0.0,0.0,1.4464287E-4,0.1636875,-0.0,0.0,-6.689454E-4,-0.0024315787,0.0,0.0
61470.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.002936842,,,0.0,0.0,0.0,0.0,0.0,9.642857E-5,0.16373572,-0.0,0.0,-6.689454E-4,-0.0024315787,0.0,0.0
61503.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0036947366,,,0.0,0.0,0.0,0.0,0.0,9.642857E-5,0.16388038,-0.0,0.0,-6.689454E-4,-0.0024315787,0.0,0.0
61533.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.004073684,,,0.0,0.0,0.0,0.0,0.0,4.8214286E-5,0.16402501,-0.0,0.0,-6.689454E-4,-0.0024315787,0.0,0.0
61563.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.004263158,,,0.0,0.0,0.0,0.0,0.0,0.0,0.16407321,-0.0,0.0,-6.689454E-4,-0.0024315787,0.0,0.0
61595.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0044210525,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1639768,-0.0,0.0,-6.689454E-4,-0.0024315787,0.0,0.0
61627.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0044210525,,,0.0,0.0,0.0,0.0,0.0,0.0,0.16388036,-0.0,0.0,-6.689454E-4,-0.0024315787,0.0,0.0
61658.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0044210525,,,0.0,0.0,0.0,0.0,0.0,0.0,0.16378394,-0.0,0.0,-7.275391E-4,-0.0025263156,0.0,0.0
61690.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0044210525,,,0.0,0.0,0.0,0.0,0.0,-4.8214286E-5,0.16402502,-0.0,0.0,-0.0014111329,-0.002936842,-7.1700174E-6,-0.002441404
61722.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0044210525,,,0.0,0.0,0.0,0.0,0.0,4.8214282E-5,0.16416965,-0.0,0.0,-0.003022461,-0.0036947366,-8.8399465E-5,-0.023925783
61753.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0044210525,,,0.0,0.0,0.0,0.0,0.0,9.642857E-5,0.1643143,-0.0,0.0,-0.00503418,-0.004073684,-2.0686687E-4,-0.050781272
61786.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0044210525,,,0.0,0.0,0.0,0.0,0.0,1.9285714E-4,0.16441074,-0.0,0.0,-0.0065332036,-0.004263158,-2.664473E-4,-0.06249999
61817.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0044210525,,,0.0,0.0,0.0,0.0,0.0,2.4107142E-4,0.16436252,-0.0,0.0,-0.006645508,-0.0044210525,-1.2520557E-4,-0.028320309
61848.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0044210525,,,0.0,0.0,0.0,0.0,0.0,2.8928573E-4,0.1642661,-0.0,0.0,-0.006645508,-0.0044210525,0.0,0.0
61878.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0044210525,,,0.0,0.0,0.0,0.0,0.0,9.642858E-5,0.16412145,-0.0,0.0,-0.006645508,-0.0044210525,0.0,0.0
61911.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0044210525,,,0.0,0.0,0.0,0.0,0.0,4.8214293E-5,0.16412143,-0.0,0.0,-0.006645508,-0.0044210525,0.0,0.0
61942.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0044210525,,,0.0,0.0,0.0,0.0,0.0,4.8214293E-5,0.16407321,-0.0,0.0,-0.006645508,-0.0044210525,0.0,0.0
61974.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0044210525,,,0.0,0.0,0.0,0.0,0.0,-4.821427E-5,0.16407323,-0.0,0.0,-0.006645508,-0.0044210525,0.0,0.0
62006.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0044210525,,,0.0,0.0,0.0,0.0,0.0,1.7462299E-11,0.16402502,-0.0,0.0,-0.006645508,-0.0044210525,0.0,0.0
62036.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0044210525,,,0.0,0.0,0.0,0.0,0.0,-1.4464285E-4,0.1639768,-0.0,0.0,-0.006645508,-0.0044210525,0.0,0.0
62068.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0044210525,,,0.0,0.0,0.0,0.0,0.0,-1.4464285E-4,0.1639768,-0.0,0.0,-0.006645508,-0.0044210525,0.0,0.0
62101.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0044210525,,,0.0,0.0,0.0,0.0,0.0,-1.9285714E-4,0.16388036,-0.0,0.0,-0.006645508,-0.0044210525,0.0,0.0
62132.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0044210525,,,0.0,0.0,0.0,0.0,0.0,-3.8571432E-4,0.16373572,-0.0,0.0,-0.006645508,-0.0044210525,0.0,0.0
62163.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0044210525,,,0.0,0.0,0.0,0.0,0.0,-4.821429E-4,0.16354287,-0.0,0.0,-0.006645508,-0.0044210525,0.0,0.0
62195.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0044210525,,,0.0,0.0,0.0,0.0,0.0,-3.3750004E-4,0.16344644,-0.0,0.0,-0.006645508,-0.0044210525,0.0,0.0
62228.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0044210525,,,0.0,0.0,0.0,0.0,0.0,-3.3750004E-4,0.16335002,-0.0,0.0,-0.006645508,-0.0044210525,0.0,0.0
62258.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0044210525,,,0.0,0.0,0.0,0.0,0.0,-3.8571432E-4,0.16335002,-0.0,0.0,-0.006645508,-0.0044210525,0.0,0.0
62290.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0044210525,,,0.0,0.0,0.0,0.0,0.0,-3.3750004E-4,0.16349468,-0.0,0.0,-0.006645508,-0.0044210525,0.0,0.0
62321.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0044210525,,,0.0,0.0,0.0,0.0,0.0,-3.8571432E-4,0.16354288,-0.0,0.0,-0.006645508,-0.0044210525,0.0,0.0
62352.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0044210525,,,0.0,0.0,0.0,0.0,0.0,-1.9285714E-4,0.1636393,-0.0,0.0,-0.006645508,-0.0044210525,0.0,0.0
